"Gene","Regulation"
"RGS1","decreased"
"RPS4Y1","decreased"
"ZFP36","decreased"
"SLC2A3","decreased"
"LOC101927136","decreased"
"ADAMTS4","decreased"
"SRRM4","decreased"
"ATF3","decreased"
"C11orf87","decreased"
"TTTY14","decreased"
"GSTT1","decreased"
"MIR3189","decreased"
"MYCNOS","decreased"
"CXCL2","decreased"
"HCRTR2","decreased"
"CYP4A22","decreased"
"CYR61","decreased"
"USP9Y","decreased"
"NR4A1","decreased"
"CCL3","decreased"
"ITLN1","decreased"
"DDX3Y","decreased"
"JUNB","decreased"
"UTY","decreased"
"DUSP1","decreased"
"DUSP2","decreased"
"EGR1","decreased"
"EGR2","decreased"
"EGR3","decreased"
"RDH8","decreased"
"SPP1","decreased"
"GAPDH","decreased"
"ACTB","decreased"
"ACTG1","decreased"
"TPT1","decreased"
"ITM2B","decreased"
"APP","decreased"
"CD24","decreased"
"PKM","decreased"
"EEF1A1","decreased"
"ENO1","decreased"
"FTH1","decreased"
